AAPL,AAPL,AAPL,AAPL,AAPL,BRK.B,BRK.B,BRK.B,BRK.B,BRK.B,MSFT,MSFT,MSFT,MSFT,MSFT
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
143.72,144.27,143.01,143.67,14770213.0,167.59,167.6,166.34,166.59,2210140.0,65.65,66.19,65.45,65.87,15302983.0
143.71,144.12,143.05,143.7,15995121.0,166.72,167.0,165.32,166.86,2768905.0,65.81,65.94,65.19,65.55,15349446.0
143.25,144.89,143.17,144.76,16858913.0,166.61,167.0,166.14,166.82,2010222.0,65.39,65.81,65.28,65.73,10402128.0
144.22,145.46,143.81,144.02,23132460.0,167.45,168.23,165.67,165.74,3244898.0,66.3,66.35,65.4443,65.56,18152399.0
144.29,144.52,143.45,143.67,17103902.0,165.6,166.995,165.02,166.52,2422033.0,65.6,66.055,65.48,65.73,14744729.0
143.73,144.18,143.27,143.34,13666990.0,165.82,166.89,165.48,166.13,1913859.0,65.85,65.96,65.44,65.69,10993783.0
143.6,143.8792,142.9,143.16,14311954.0,166.2,167.0,165.975,166.29,2140957.0,65.61,65.82,65.36,65.53,11263253.0
142.94,143.35,140.06,141.62,26300774.0,165.8,166.22,164.85,165.67,2709044.0,65.6,65.61,64.85,65.5,15929107.0
141.6,142.15,141.01,141.79,17472473.0,165.07,165.48,164.66,164.99,2656103.0,65.42,65.51,65.11,65.22,14342321.0
141.91,142.38,141.05,141.07,14659112.0,164.88,165.28,162.87,162.9,2704186.0,65.29,65.86,64.95,64.96,14561295.0
141.18,141.87,140.87,141.83,13269369.0,163.61,164.63,162.67,164.41,2251492.0,65.04,65.49,65.01,65.47,11975562.0
141.41,142.04,141.11,141.22,12122154.0,163.87,164.23,163.09,163.65,2099771.0,65.33,65.71,65.16,65.39,12899875.0
141.88,142.0,140.45,140.66,13575481.0,164.1,164.49,162.28,162.72,2998757.0,65.65,65.75,64.89,65.03,17990980.0
141.22,142.92,141.16,142.44,19117683.0,163.29,165.235,163.04,164.98,2774785.0,65.36,65.75,65.14,65.5,18229134.0
142.44,142.68,141.85,142.27,14016468.0,164.4,164.95,163.34,163.45,3173798.0,65.56,66.7,65.45,66.41,27485328.0
143.5,143.95,143.18,143.63,13471624.0,165.7,165.99,164.4,165.73,2903621.0,67.47,67.66,67.1,67.53,24937800.0
143.97,144.9,143.87,144.53,14715853.0,166.96,167.96,166.6,167.5,3065153.0,67.9,68.04,67.6,67.92,21868697.0
144.49,144.6,143.3762,143.66,16356698.0,167.5,168.95,167.25,167.64,3225175.0,68.08,68.31,67.62,67.82,20489095.0
143.91,144.16,143.31,143.79,10693032.0,167.65,167.81,165.5,166.69,2850114.0,68.16,68.38,67.58,68.29,27000196.0
